gene	alteration	cancer_acronym	source
CDH1	mutation	ST-PR	validated
CDH1	mutation	STAD	in_silico_predicted
CDK12	mutation	BLCA	in_silico_predicted
CDK12	mutation	BRCA	in_silico_predicted
CDK12	mutation	COREAD	in_silico_predicted
CDK12	mutation	HNSC	in_silico_predicted
CDK12	mutation	LGG	in_silico_predicted
CDK12	mutation	LUAD	in_silico_predicted
CDK12	mutation	MM	in_silico_predicted
CDK12	mutation	OV	"cgc,in_silico_predicted"
CDK12	mutation	SCLC	in_silico_predicted
CDK12	mutation	THCA	in_silico_predicted
CDK4	mutation	CANCER	biomarker
CDK4	mutation	CANCER-PR	predisposing
CDK4	mutation	CM	"cgc,validated,in_silico_predicted"
CDK4	mutation	CM-PR	predisposing
CDK4	mutation	LIP	biomarker
CDK4	mutation	LY	biomarker
CDK6	mutation	CANCER	biomarker
CDK6	mutation	LIP	biomarker
CDK6	mutation	LY	biomarker
CDKN1A	mutation	BLCA	in_silico_predicted
CDKN1A	mutation	CANCER	biomarker
CDKN1A	mutation	CM	in_silico_predicted
CDKN1A	mutation	LUSC	in_silico_predicted
CDKN1B	mutation	BLCA	in_silico_predicted
CDKN1B	mutation	BRCA	"cgc,in_silico_predicted"
CDKN1B	mutation	CANCER	biomarker
CDKN1B	mutation	COREAD	in_silico_predicted
CDKN1B	mutation	ESCA	in_silico_predicted
CDKN1B	mutation	HNSC	in_silico_predicted
CDKN1B	mutation	LUAD	in_silico_predicted
CDKN1B	mutation	MM	in_silico_predicted
CDKN1B	mutation	PATH	cgc
CDKN1B	mutation	PIGA	cgc
CDKN1B	mutation	PRAD	in_silico_predicted
CDKN1B	mutation	SINNE	cgc
CDKN1B	mutation	UCEC	in_silico_predicted
CDKN2A	mutation	BLCA	in_silico_predicted
CDKN2A	mutation	CANCER	"cgc,biomarker,validated"
CDKN2A	mutation	CANCER-PR	predisposing
CDKN2A	mutation	CM	"cgc,biomarker,validated,in_silico_predicted"
CDKN2A	mutation	CM-PR	predisposing
CDKN2A	mutation	ESCA	in_silico_predicted
CDKN2A	mutation	G	biomarker
CDKN2A	mutation	HNSC	in_silico_predicted
CDKN2A	mutation	LUAD	in_silico_predicted
CDKN2A	mutation	LUSC	in_silico_predicted
CDKN2A	mutation	PA	cgc
CDKN2A	mutation	PAAD	in_silico_predicted
CDKN2A	mutation	STAD	in_silico_predicted
CDKN2B	mutation	CANCER	biomarker
CDKN2B	mutation	G	biomarker
CDKN2C	mutation	CANCER	biomarker
CDKN2C	mutation	G	biomarker
CEBPA	mutation	AML	"cgc,validated,in_silico_predicted"
CEBPA	mutation	MDS	cgc
CEP290	mutation	BLCA	in_silico_predicted
CEP290	mutation	BRCA	in_silico_predicted
CEP290	mutation	CM	in_silico_predicted
CEP290	mutation	COREAD	in_silico_predicted
CEP290	mutation	ESCA	in_silico_predicted
CEP290	mutation	HC	in_silico_predicted
CEP290	mutation	HNSC	in_silico_predicted
CEP290	mutation	MM	in_silico_predicted
CEP290	mutation	NB	in_silico_predicted
CEP290	mutation	PRAD	in_silico_predicted
CEP290	mutation	STAD	in_silico_predicted
CHD1L	mutation	CM	in_silico_predicted
CHD1L	mutation	LUAD	in_silico_predicted
CHD1L	mutation	LUSC	in_silico_predicted
CHD1L	mutation	OV	in_silico_predicted
CHD1L	mutation	PRAD	in_silico_predicted
CHD1L	mutation	SCLC	in_silico_predicted
CHD1L	mutation	STAD	in_silico_predicted
CHD2	mutation	BRCA	in_silico_predicted
CHD2	mutation	CLL	in_silico_predicted
CHD2	mutation	CM	in_silico_predicted
CHD2	mutation	LUAD	in_silico_predicted
CHD2	mutation	LUSC	in_silico_predicted
CHD2	mutation	PRAD	in_silico_predicted
CHD2	mutation	RCCC	in_silico_predicted
CHD2	mutation	THCA	in_silico_predicted
CHD3	mutation	BLCA	in_silico_predicted
CHD3	mutation	CM	in_silico_predicted
CHD3	mutation	LUSC	in_silico_predicted
CHD3	mutation	PRAD	in_silico_predicted
CHD3	mutation	STAD	in_silico_predicted
CHD3	mutation	THCA	in_silico_predicted
CHD3	mutation	UCEC	in_silico_predicted
CHD4	mutation	AML	in_silico_predicted
CHD4	mutation	BRCA	in_silico_predicted
CHD4	mutation	COREAD	in_silico_predicted
CHD4	mutation	DLBCL	in_silico_predicted
CHD4	mutation	ESCA	in_silico_predicted
CHD4	mutation	OV	in_silico_predicted
CHD4	mutation	PRAD	in_silico_predicted
CHD4	mutation	UCEC	in_silico_predicted
CHD6	mutation	CM	in_silico_predicted
CHD8	mutation	GBM	in_silico_predicted
CHD9	mutation	BLCA	in_silico_predicted
CHD9	mutation	BRCA	in_silico_predicted
CHD9	mutation	CM	in_silico_predicted
CHD9	mutation	COREAD	in_silico_predicted
CHD9	mutation	HNSC	in_silico_predicted
CHD9	mutation	MM	in_silico_predicted
CHD9	mutation	PRAD	in_silico_predicted
CHD9	mutation	UCEC	in_silico_predicted
CHEK2	mutation	BLCA	in_silico_predicted
CHEK2	mutation	BRCA	"cgc,in_silico_predicted"
CHEK2	mutation	BRCA/OV-PR	predisposing
CHEK2	mutation	CANCER-PR	predisposing
CHEK2	mutation	CM	in_silico_predicted
CHEK2	mutation	LGG	in_silico_predicted
CHEK2	mutation	LUAD	in_silico_predicted
CHEK2	mutation	LUSC	in_silico_predicted
CHEK2	mutation	PAAD	in_silico_predicted
CHEK2	mutation	PRAD	"biomarker,validated,in_silico_predicted"
CHEK2	mutation	RCCC	in_silico_predicted
CHEK2	mutation	SCLC	in_silico_predicted
CHEK2	mutation	STAD	in_silico_predicted
CHEK2	mutation	UCEC	in_silico_predicted
CIC	mutation	BLCA	in_silico_predicted
CIC	mutation	BRCA	in_silico_predicted
CIC	mutation	CM	in_silico_predicted
CIC	mutation	ESCA	in_silico_predicted
CIC	mutation	G	cgc
CIC	mutation	LGG	in_silico_predicted
CIC	mutation	LUAD	in_silico_predicted
CIC	mutation	LUSC	in_silico_predicted
CIC	mutation	S	cgc
CIITA	mutation	HNSC	in_silico_predicted
CLASP2	mutation	BLCA	in_silico_predicted
CLASP2	mutation	BRCA	in_silico_predicted
CLASP2	mutation	CLL	in_silico_predicted
CLASP2	mutation	CM	in_silico_predicted
CLASP2	mutation	HNSC	in_silico_predicted
CLASP2	mutation	LUAD	in_silico_predicted
CLASP2	mutation	LUSC	in_silico_predicted
CLASP2	mutation	OV	in_silico_predicted
CLASP2	mutation	STAD	in_silico_predicted
CLCC1	mutation	CM	in_silico_predicted
CLCN2	mutation	MM	in_silico_predicted
CLOCK	mutation	CM	in_silico_predicted
CLOCK	mutation	GBM	in_silico_predicted
CLOCK	mutation	LUSC	in_silico_predicted
CLOCK	mutation	STAD	in_silico_predicted
CLOCK	mutation	UCEC	in_silico_predicted
CLSPN	mutation	BLCA	in_silico_predicted
CLSPN	mutation	BRCA	in_silico_predicted
CLSPN	mutation	CLL	in_silico_predicted
CLSPN	mutation	CM	in_silico_predicted
CLSPN	mutation	COREAD	in_silico_predicted
CLSPN	mutation	HNSC	in_silico_predicted
CLSPN	mutation	LUAD	in_silico_predicted
CLSPN	mutation	OV	in_silico_predicted
CLSPN	mutation	SCLC	in_silico_predicted
CLTC	mutation	BLCA	in_silico_predicted
CLTC	mutation	BRCA	in_silico_predicted
CLTC	mutation	CM	in_silico_predicted
CLTC	mutation	ESCA	in_silico_predicted
CLTC	mutation	GBM	in_silico_predicted
CLTC	mutation	MM	in_silico_predicted
CLTC	mutation	RCCC	in_silico_predicted
CLTC	mutation	STAD	in_silico_predicted
CLTC	mutation	UCEC	in_silico_predicted
CNOT1	mutation	ALL	in_silico_predicted
CNOT1	mutation	BLCA	in_silico_predicted
CNOT1	mutation	COREAD	in_silico_predicted
CNOT1	mutation	ESCA	in_silico_predicted
CNOT1	mutation	GBM	in_silico_predicted
CNOT1	mutation	HC	in_silico_predicted
CNOT1	mutation	MM	in_silico_predicted
CNOT1	mutation	PRAD	in_silico_predicted
CNOT1	mutation	STAD	in_silico_predicted
CNOT3	mutation	ALL	in_silico_predicted
CNOT3	mutation	BRCA	in_silico_predicted
CNOT3	mutation	CM	in_silico_predicted
CNOT3	mutation	ESCA	in_silico_predicted
CNOT3	mutation	LUAD	in_silico_predicted
CNOT3	mutation	LUSC	in_silico_predicted
CNOT3	mutation	PRAD	in_silico_predicted
CNOT3	mutation	RCCC	in_silico_predicted
CNOT3	mutation	TCALL	cgc
CNOT4	mutation	HNSC	in_silico_predicted
CNOT4	mutation	LUAD	in_silico_predicted
CNOT4	mutation	LUSC	in_silico_predicted
CNOT4	mutation	RCCC	in_silico_predicted
CNOT4	mutation	STAD	in_silico_predicted
CNOT4	mutation	UCEC	in_silico_predicted
CNTNAP1	mutation	PRAD	in_silico_predicted
COL1A1	mutation	CM	in_silico_predicted
COL1A1	mutation	HNSC	in_silico_predicted
COL1A1	mutation	LUAD	in_silico_predicted
COL1A1	mutation	MM	in_silico_predicted
COL1A1	mutation	NB	in_silico_predicted
COL1A1	mutation	STAD	in_silico_predicted
COPS2	mutation	BLCA	in_silico_predicted
COPS2	mutation	CM	in_silico_predicted
COPS2	mutation	LUAD	in_silico_predicted
COPS2	mutation	LUSC	in_silico_predicted
COPS2	mutation	RCCC	in_silico_predicted
COPS2	mutation	STAD	in_silico_predicted
COPS3	mutation	MM	in_silico_predicted
COPS4	mutation	MM	in_silico_predicted
COPS5	mutation	MM	in_silico_predicted
COPS6	mutation	MM	in_silico_predicted
CR1	mutation	PAAD	in_silico_predicted
CRBN	mutation	MM	in_silico_predicted
CRBN	mutation	MYMA	validated
CREBBP	mutation	ALL	cgc
CREBBP	mutation	AML	cgc
CREBBP	mutation	CLL	in_silico_predicted
CREBBP	mutation	COREAD	in_silico_predicted
CREBBP	mutation	DLBCL	"cgc,in_silico_predicted"
CREBBP	mutation	ESCA	in_silico_predicted
CREBBP	mutation	LUAD	in_silico_predicted
CREBBP	mutation	MB	in_silico_predicted
CREBBP	mutation	NB	in_silico_predicted
CREBBP	mutation	NHLY	cgc
CREBBP	mutation	SCLC	in_silico_predicted
CRLF2	mutation	ALL	"cgc,validated"
CRLF2	mutation	CANCER	cgc
CRNKL1	mutation	LUAD	in_silico_predicted
CRTC3	mutation	CM	in_silico_predicted
CSDA	mutation	CM	in_silico_predicted
CSDA	mutation	LUSC	in_silico_predicted
CSDA	mutation	RCCC	in_silico_predicted
CSDA	mutation	STAD	in_silico_predicted
CSDE1	mutation	BLCA	in_silico_predicted
CSDE1	mutation	BRCA	in_silico_predicted
CSDE1	mutation	GBM	in_silico_predicted
CSDE1	mutation	LUSC	in_silico_predicted
CSDE1	mutation	OV	in_silico_predicted
CSDE1	mutation	STAD	in_silico_predicted
CSF1R	mutation	CANCER	validated
CSF1R	mutation	HEMATO	validated
CSF1R	mutation	MDPS	"biomarker,validated"
CSF3R	mutation	ACML	cgc
CSF3R	mutation	AML	"cgc,validated"
CSF3R	mutation	CML	"cgc,validated"
CSF3R	mutation	CNL	cgc
CSF3R	mutation	HEMATO-PR	predisposing
CSF3R	mutation	LK	cgc
CSF3R	mutation	LY	cgc
CSF3R	mutation	MDS	cgc
CSNK1A1	mutation	MM	in_silico_predicted
CSNK1G3	mutation	BRCA	in_silico_predicted
CSNK1G3	mutation	CM	in_silico_predicted
CSNK1G3	mutation	ESCA	in_silico_predicted
CSNK1G3	mutation	LUAD	in_silico_predicted
CSNK1G3	mutation	STAD	in_silico_predicted
CSNK1G3	mutation	UCEC	in_silico_predicted
CSNK2A1	mutation	HNSC	in_silico_predicted
CTCF	mutation	BLCA	in_silico_predicted
CTCF	mutation	BRCA	in_silico_predicted
CTCF	mutation	CM	in_silico_predicted
CTCF	mutation	COREAD	in_silico_predicted
CTCF	mutation	HNSC	in_silico_predicted
CTCF	mutation	LUAD	in_silico_predicted
CTCF	mutation	RCCC	in_silico_predicted
CTCF	mutation	UCEC	in_silico_predicted
CTNNB1	mutation	ACA	validated
CTNNB1	mutation	B	validated
CTNNB1	mutation	BLCA	in_silico_predicted
CTNNB1	mutation	CANCER	"cgc,validated"
CTNNB1	mutation	CM	"validated,in_silico_predicted"
CTNNB1	mutation	COREAD	"cgc,validated,in_silico_predicted"
CTNNB1	mutation	DEST	validated
CTNNB1	mutation	ED	"biomarker,validated"
CTNNB1	mutation	ESCA	in_silico_predicted
CTNNB1	mutation	ESSC	validated
CTNNB1	mutation	HB	cgc
CTNNB1	mutation	HC	"validated,in_silico_predicted"
CTNNB1	mutation	HNSC	in_silico_predicted
CTNNB1	mutation	LUAD	"validated,in_silico_predicted"
CTNNB1	mutation	LUSC	in_silico_predicted
CTNNB1	mutation	MB	"validated,in_silico_predicted"
CTNNB1	mutation	OV	"cgc,validated,in_silico_predicted"
CTNNB1	mutation	PAAD	in_silico_predicted
CTNNB1	mutation	PATH	validated
CTNNB1	mutation	PRAD	in_silico_predicted
CTNNB1	mutation	SG	cgc
CTNNB1	mutation	STAD	"validated,in_silico_predicted"
CTNNB1	mutation	THCA	in_silico_predicted
CTNNB1	mutation	UCEC	in_silico_predicted
CTNND1	mutation	UCEC	in_silico_predicted
CTTN	mutation	LUSC	in_silico_predicted
CUL1	mutation	AML	in_silico_predicted
CUL1	mutation	BRCA	in_silico_predicted
CUL1	mutation	CM	in_silico_predicted
CUL1	mutation	COREAD	in_silico_predicted
CUL1	mutation	GBM	in_silico_predicted
CUL1	mutation	HNSC	in_silico_predicted
CUL1	mutation	LUSC	in_silico_predicted
CUL1	mutation	RCCC	in_silico_predicted
CUL1	mutation	STAD	in_silico_predicted
CUL1	mutation	UCEC	in_silico_predicted
CUL2	mutation	BLCA	in_silico_predicted
CUL2	mutation	CM	in_silico_predicted
CUL2	mutation	LUAD	in_silico_predicted
CUL2	mutation	OV	in_silico_predicted
CUL2	mutation	PRAD	in_silico_predicted
CUL2	mutation	STAD	in_silico_predicted
CUL3	mutation	CM	in_silico_predicted
CUL3	mutation	ESCA	in_silico_predicted
CUL3	mutation	HNSC	in_silico_predicted
CUL3	mutation	LUAD	in_silico_predicted
CUL3	mutation	PRAD	in_silico_predicted
CUL3	mutation	STAD	in_silico_predicted
CUL4A	mutation	MM	in_silico_predicted
CUX1	mutation	AML	cgc
CUX1	mutation	CANCER	cgc
CUX1	mutation	CM	cgc
CUX1	mutation	COREAD	cgc
CUX1	mutation	ED	cgc
CUX1	mutation	MDS	cgc
CUX1	mutation	PRAD	in_silico_predicted
CUX1	mutation	UCEC	in_silico_predicted
CYLD	mutation	CM	in_silico_predicted
CYLD	mutation	HNC	cgc
CYLD	mutation	HNSC	in_silico_predicted
CYLD	mutation	LUAD	in_silico_predicted
CYLD	mutation	MM	in_silico_predicted
CYLD	mutation	STAD	in_silico_predicted
CYTH4	mutation	CM	in_silico_predicted
DAXX	mutation	GB	cgc
DAXX	mutation	PANC	cgc
DCC	mutation	COREAD	validated
DCC	mutation	ESCA	validated
DDB1	mutation	MM	in_silico_predicted
DDB2	mutation	BCC	cgc
DDB2	mutation	CM	cgc
DDB2	mutation	SCC	cgc
DDR2	mutation	LUSC	"biomarker,validated"
DDR2	mutation	PAAD	in_silico_predicted
DDR2	mutation	SCC	validated
DDX3X	mutation	BLCA	in_silico_predicted
DDX3X	mutation	BRCA	in_silico_predicted
DDX3X	mutation	CLL	in_silico_predicted
DDX3X	mutation	CM	in_silico_predicted
DDX3X	mutation	HNSC	in_silico_predicted
DDX3X	mutation	LGG	in_silico_predicted
DDX3X	mutation	LUAD	in_silico_predicted
DDX3X	mutation	LUSC	in_silico_predicted
DDX3X	mutation	MB	in_silico_predicted
DDX3X	mutation	MM	in_silico_predicted
DDX3X	mutation	RCCC	in_silico_predicted
DDX5	mutation	BLCA	in_silico_predicted
DDX5	mutation	BRCA	in_silico_predicted
DDX5	mutation	CM	in_silico_predicted
DDX5	mutation	ESCA	in_silico_predicted
DDX5	mutation	LUAD	in_silico_predicted
DDX5	mutation	OV	in_silico_predicted
DDX5	mutation	RCCC	in_silico_predicted
DDX5	mutation	STAD	in_silico_predicted
DEPDC1B	mutation	UCEC	in_silico_predicted
DHX15	mutation	BRCA	in_silico_predicted
DHX15	mutation	CM	in_silico_predicted
DHX15	mutation	LUAD	in_silico_predicted
DHX15	mutation	LUSC	in_silico_predicted
DHX15	mutation	MM	in_silico_predicted
DHX15	mutation	RCCC	in_silico_predicted
DHX15	mutation	STAD	in_silico_predicted
DHX15	mutation	UCEC	in_silico_predicted
DHX35	mutation	UCEC	in_silico_predicted
DHX9	mutation	LUSC	in_silico_predicted
DICER1	mutation	BLCA	in_silico_predicted
DICER1	mutation	CANCER	"cgc,validated"
DICER1	mutation	CM	in_silico_predicted
DICER1	mutation	HNSC	in_silico_predicted
DICER1	mutation	MGCT	cgc
DICER1	mutation	PIGA	cgc
DICER1	mutation	PPB	cgc
DICER1	mutation	RCCC	in_silico_predicted
DICER1	mutation	RHBDS	cgc
DICER1	mutation	SCGS	cgc
DICER1	mutation	SCLC	in_silico_predicted
DICER1	mutation	THCA	"cgc,in_silico_predicted"
DICER1	mutation	UCEC	in_silico_predicted
DICER1	mutation	WT	cgc
DIS3	mutation	AML	in_silico_predicted
DIS3	mutation	BLCA	in_silico_predicted
DIS3	mutation	BRCA	in_silico_predicted
DIS3	mutation	CM	in_silico_predicted
DIS3	mutation	COREAD	in_silico_predicted
DIS3	mutation	GBM	in_silico_predicted
DIS3	mutation	MM	in_silico_predicted
DIS3	mutation	RCCC	in_silico_predicted
DIS3	mutation	STAD	in_silico_predicted
DIS3	mutation	UCEC	in_silico_predicted
DLC1	mutation	COREAD	validated
DLG1	mutation	BLCA	in_silico_predicted
DLG1	mutation	CM	in_silico_predicted
DLG1	mutation	ESCA	in_silico_predicted
DLG1	mutation	LUSC	in_silico_predicted
DLG1	mutation	OV	in_silico_predicted
DLG1	mutation	STAD	in_silico_predicted
DNM2	mutation	TCALL	cgc
DNMT3A	mutation	AML	"cgc,biomarker,validated,in_silico_predicted"
DNMT3A	mutation	CM	in_silico_predicted
DNMT3A	mutation	COREAD	in_silico_predicted
DNMT3A	mutation	HNSC	in_silico_predicted
DNMT3A	mutation	LUAD	in_silico_predicted
DNMT3A	mutation	OV	in_silico_predicted
DNMT3A	mutation	STAD	in_silico_predicted
DNMT3A	mutation	UCEC	in_silico_predicted
DPYD	mutation	CANCER	validated
ECT2L	mutation	TCALL	cgc
EEF1A1	mutation	ESCA	in_silico_predicted
EEF1A1	mutation	HNSC	in_silico_predicted
EEF1A1	mutation	LUSC	in_silico_predicted
EEF1A1	mutation	RCCC	in_silico_predicted
EEF1A1	mutation	STAD	in_silico_predicted
EEF1B2	mutation	BLCA	in_silico_predicted
EEF1B2	mutation	LGG	in_silico_predicted
EEF1B2	mutation	LUAD	in_silico_predicted
EEF1B2	mutation	PRAD	in_silico_predicted
EFTUD2	mutation	LUAD	in_silico_predicted
EGFR	mutation	AML	in_silico_predicted
EGFR	mutation	B	validated
EGFR	mutation	BRCA	in_silico_predicted
EGFR	mutation	CANCER	validated
EGFR	mutation	COREAD	"biomarker,validated,in_silico_predicted"
EGFR	mutation	ED	"biomarker,validated"
EGFR	mutation	EDA	validated
EGFR	mutation	ESCA	"validated,in_silico_predicted"
EGFR	mutation	ESSC	validated
EGFR	mutation	G	"cgc,biomarker,validated"
EGFR	mutation	GB	biomarker
EGFR	mutation	GBM	in_silico_predicted
EGFR	mutation	HNC	"biomarker,validated"
EGFR	mutation	HNSC	"validated,in_silico_predicted"
EGFR	mutation	L	"biomarker,validated"
EGFR	mutation	LGG	in_silico_predicted
EGFR	mutation	LUAD	"validated,in_silico_predicted"
EGFR	mutation	LUSC	"validated,in_silico_predicted"
EGFR	mutation	NSCLC	"cgc,biomarker,validated"
EGFR	mutation	PRAD	"validated,in_silico_predicted"
EGFR	mutation	RCCC	in_silico_predicted
EGFR	mutation	STAD	in_silico_predicted
EGFR	mutation	TOSC	validated
EGFR	mutation	UCEC	in_silico_predicted
EIF1AX	mutation	BRCA	in_silico_predicted
EIF1AX	mutation	CM	in_silico_predicted
EIF1AX	mutation	LGG	in_silico_predicted
EIF1AX	mutation	THCA	in_silico_predicted
EIF1AX	mutation	UCEC	in_silico_predicted
EIF2AK3	mutation	BLCA	in_silico_predicted
EIF2AK3	mutation	CM	in_silico_predicted
EIF2AK3	mutation	ESCA	in_silico_predicted
EIF2AK3	mutation	LUAD	in_silico_predicted
EIF2AK3	mutation	OV	in_silico_predicted
EIF2AK3	mutation	PRAD	in_silico_predicted
EIF2AK3	mutation	RCCC	in_silico_predicted
EIF2AK3	mutation	SCLC	in_silico_predicted
EIF2AK3	mutation	STAD	in_silico_predicted
EIF2AK3	mutation	UCEC	in_silico_predicted
EIF2C3	mutation	BRCA	in_silico_predicted
EIF2C3	mutation	HNSC	in_silico_predicted
EIF2C3	mutation	LUAD	in_silico_predicted
EIF2C3	mutation	LUSC	in_silico_predicted
EIF2C3	mutation	NB	in_silico_predicted
EIF2C3	mutation	RCCC	in_silico_predicted
EIF2C3	mutation	UCEC	in_silico_predicted
EIF4A2	mutation	BLCA	in_silico_predicted
EIF4A2	mutation	BRCA	in_silico_predicted
EIF4A2	mutation	CM	in_silico_predicted
EIF4A2	mutation	LUAD	in_silico_predicted
EIF4A2	mutation	LUSC	in_silico_predicted
EIF4A2	mutation	OV	in_silico_predicted
EIF4A2	mutation	RCCC	in_silico_predicted
EIF4A2	mutation	STAD	in_silico_predicted
EIF4A2	mutation	UCEC	in_silico_predicted
EIF4G1	mutation	BLCA	in_silico_predicted
EIF4G1	mutation	BRCA	in_silico_predicted
EIF4G1	mutation	CM	in_silico_predicted
EIF4G1	mutation	ESCA	in_silico_predicted
EIF4G1	mutation	LUAD	in_silico_predicted
EIF4G1	mutation	PRAD	in_silico_predicted
EIF4G1	mutation	RCCC	in_silico_predicted
EIF4G1	mutation	STAD	in_silico_predicted
EIF4G1	mutation	UCEC	in_silico_predicted
EIF4G3	mutation	CM	in_silico_predicted
ELF1	mutation	BLCA	in_silico_predicted
ELF1	mutation	BRCA	in_silico_predicted
ELF1	mutation	CM	in_silico_predicted
ELF1	mutation	HNSC	in_silico_predicted
ELF1	mutation	LUSC	in_silico_predicted
ELF1	mutation	RCCC	in_silico_predicted
ELF3	mutation	BLCA	in_silico_predicted
ELF3	mutation	CM	in_silico_predicted
ELF3	mutation	COREAD	in_silico_predicted
ELF3	mutation	ESCA	in_silico_predicted
ELF3	mutation	STAD	in_silico_predicted
ELF4	mutation	HNSC	in_silico_predicted
EP300	mutation	ALL	cgc
EP300	mutation	AML	cgc
EP300	mutation	BLCA	in_silico_predicted
EP300	mutation	BRCA	"cgc,in_silico_predicted"
EP300	mutation	CLL	in_silico_predicted
EP300	mutation	CM	in_silico_predicted
EP300	mutation	COREAD	"cgc,validated"
EP300	mutation	DLBCL	cgc
EP300	mutation	ESCA	in_silico_predicted
EP300	mutation	HNSC	in_silico_predicted
EP300	mutation	LUAD	in_silico_predicted
EP300	mutation	PA	cgc
EP300	mutation	PRAD	in_silico_predicted
EP300	mutation	SCLC	in_silico_predicted
EP300	mutation	UCEC	in_silico_predicted
EPHA1	mutation	STAD	in_silico_predicted
EPHA2	mutation	HNSC	in_silico_predicted
EPHA2	mutation	LUSC	"biomarker,validated"
EPHA4	mutation	LUAD	in_silico_predicted
EPHB2	mutation	LUAD	in_silico_predicted
EPHB2	mutation	PRAD	validated
ERBB2	mutation	BRCA	"cgc,biomarker,validated,in_silico_predicted"
ERBB2	mutation	CANCER	"cgc,biomarker,validated"
ERBB2	mutation	LUAD	"biomarker,validated"
ERBB2	mutation	NSCLC	"cgc,validated"
ERBB2	mutation	OV	"cgc,validated"
ERBB2	mutation	PAAD	in_silico_predicted
ERBB2	mutation	ST	"cgc,validated"
ERBB2IP	mutation	BLCA	in_silico_predicted
ERBB2IP	mutation	BRCA	in_silico_predicted
ERBB2IP	mutation	CLL	in_silico_predicted
ERBB2IP	mutation	CM	in_silico_predicted
ERBB2IP	mutation	ESCA	in_silico_predicted
ERBB2IP	mutation	LUAD	in_silico_predicted
ERBB2IP	mutation	LUSC	in_silico_predicted
ERBB2IP	mutation	OV	in_silico_predicted
ERBB2IP	mutation	RCCC	in_silico_predicted
ERBB2IP	mutation	STAD	in_silico_predicted
ERBB3	mutation	BLCA	"cgc,biomarker,validated,in_silico_predicted"
ERBB3	mutation	CANCER	"biomarker,validated"
ERBB3	mutation	CM	in_silico_predicted
ERBB3	mutation	COC	"cgc,validated"
ERBB3	mutation	HNC	cgc
ERBB3	mutation	SK	cgc
ERBB3	mutation	ST	cgc
ERBB3	mutation	STAD	validated
ERBB3	mutation	UCEC	in_silico_predicted
ERBB4	mutation	BRCA	validated
ERBB4	mutation	CM	"biomarker,validated"
ERCC1	mutation	L	biomarker
ERCC2	mutation	BCC	cgc
ERCC2	mutation	BLCA	"biomarker,in_silico_predicted"
ERCC2	mutation	BRCA	in_silico_predicted
ERCC2	mutation	CM	cgc
ERCC2	mutation	ESCA	in_silico_predicted
ERCC2	mutation	LUAD	in_silico_predicted
ERCC2	mutation	PRAD	in_silico_predicted
ERCC2	mutation	SCC	cgc
ERCC2	mutation	STAD	in_silico_predicted
ERCC3	mutation	BCC	cgc
ERCC3	mutation	CM	cgc
ERCC3	mutation	SCC	cgc
ERCC4	mutation	BCC	cgc
ERCC4	mutation	CM	cgc
ERCC4	mutation	OV	biomarker
ERCC4	mutation	SCC	cgc
ERCC5	mutation	BCC	cgc
ERCC5	mutation	CM	cgc
ERCC5	mutation	SCC	cgc
ERCC6	mutation	OV	biomarker
ESR1	mutation	BRCA	"cgc,biomarker,validated"
ESR1	mutation	CANCER	validated
ETNK1	mutation	ACML	cgc
ETNK1	mutation	CML	cgc
ETNK1	mutation	HES	cgc
ETV6	mutation	AML	validated
EXT1	mutation	OS	cgc
EXT2	mutation	OS	cgc
EZH2	mutation	AML	in_silico_predicted
EZH2	mutation	BCL	biomarker
EZH2	mutation	CM	in_silico_predicted
EZH2	mutation	DLBCL	"cgc,biomarker"
EZH2	mutation	ESCA	in_silico_predicted
EZH2	mutation	FL	biomarker
EZH2	mutation	GBM	in_silico_predicted
EZH2	mutation	HNSC	in_silico_predicted
EZH2	mutation	LUAD	in_silico_predicted
EZH2	mutation	LUSC	in_silico_predicted
EZH2	mutation	LY	"biomarker,validated"
EZH2	mutation	RCCC	in_silico_predicted
EZH2	mutation	SOLID	biomarker
EZH2	mutation	STAD	in_silico_predicted
FAF1	mutation	CM	in_silico_predicted
FAM123B	mutation	BLCA	in_silico_predicted
FAM123B	mutation	COREAD	in_silico_predicted
FAM123B	mutation	LGG	in_silico_predicted
FAM123B	mutation	OV	in_silico_predicted
FAM123B	mutation	RCCC	in_silico_predicted
FAM123B	mutation	SCLC	in_silico_predicted
FAM123B	mutation	STAD	in_silico_predicted
FAM123B	mutation	UCEC	in_silico_predicted
FAM123B	mutation	WT	cgc
FAM175A	mutation	CANCER-PR	predisposing
FAM46C	mutation	MM	"cgc,in_silico_predicted"
FANCA	mutation	AML	cgc
FANCA	mutation	LK	cgc
FANCA	mutation	PRAD	biomarker
FANCC	mutation	AML	cgc
FANCC	mutation	BLCA	biomarker
FANCC	mutation	CANCER-PR	predisposing
FANCC	mutation	LK	cgc
FANCD2	mutation	AML	cgc
FANCD2	mutation	LK	cgc
FANCE	mutation	AML	cgc
FANCE	mutation	LK	cgc
FANCF	mutation	AML	cgc
FANCF	mutation	LK	cgc
FANCG	mutation	AML	cgc
FANCG	mutation	LK	cgc
FANCI	mutation	CM	in_silico_predicted
FAS	mutation	CM	in_silico_predicted
FAS	mutation	MGCT	cgc
FAS	mutation	NHLY	cgc
FAS	mutation	SCC	"cgc,validated"
FAS	mutation	STAD	in_silico_predicted
FAS	mutation	UCEC	in_silico_predicted
FAT1	mutation	BLCA	in_silico_predicted
